die,di,
der,dea,
und,unt,
in,en,
zu,su,
den,deen,
das,tas,
nicht,nist,
von,fon,
sie,si,
ist,is,
des,dess,
sich,sis,
mit,miet,
dem,demm,
dass,daas,
er,ear,
es,ez,
ein,ain,
ich,irch,
auf,auhf,
so,sa,
eine,aine,
auch,aur,
als,alls,
an,ann,
nach,nar,
wie,wi,
im,imm,
für,for,
man,mahn,
aber,apa,
aus,auss,
durch,dosch,toch
wenn,ven,
nur,nuar,
war,var,
noch,nor,
werden,werten,
bei,pei,
hat,hatt,
wir,wiar,
was,wass,
wird,wod,
sein,sain,
einen,ainen,
welche,welse,
sind,sint,
oder,order,
um,umm,
haben,hapen,
einer,ainer,
mir,mier,
über,üper,üba
ihm,imm,
diese,diese,
einem,ainem,
ihr,ir,
uns,sum,
da,dah,
zum,zumm,
zur,zuha,
kann,kann,
doch,dor,
vor,for,
dieser,diser,disa
mich,mis,
ihn,inh,
du,dua,
hatte,hate,
seine,saine,
mehr,mer,
am,amm,
denn,tenn,
nun,nuhn,
unter,uter,
sehr,ser,
selbst,sehlst,
schon,son,
hier,iar,
bis,pis,
habe,hape,
ihre,ire,
dann,dan,
ihnen,inen,
seiner,sainer,
alle,ale,
wieder,wida,
meine,maine,
Zeit,Zait,
gegen,keken,
vom,fonn,
ganz,gaz,
einzelnen,einzellen,
wo,vo,
muss,mus,
ohne,one,
eines,aines,
können,konen,
sei,sai,
